epoch,training loss,training acc,SGD_test acc,Adam_test acc,,Adam,a,SGD,,Adam,SGD
1,0.870637476,0.635722059,0.76110322,0.760392992,0.07,0.830392992,0.066,0.82710322,100,83.0392992,82.710322
2,0.557034433,0.793687811,0.762452652,0.759079072,0.07,0.829079072,0.066,0.828452652,100,82.9079072,82.8452652
3,0.475608915,0.825537491,0.804214015,0.80337358,0.07,0.87337358,0.066,0.870214015,100,87.337358,87.0214015
4,0.432674855,0.843067031,0.812772254,0.820052083,0.07,0.890052083,0.066,0.878772254,100,89.0052083,87.8772254
5,0.401499867,0.854011194,0.832433712,0.816808712,0.07,0.886808712,0.066,0.898433712,100,88.6808712,89.8433712
6,0.37728405,0.863161869,0.827379261,0.82960464,0.07,0.89960464,0.066,0.893379261,100,89.960464,89.3379261
7,0.363157809,0.868933791,0.832694129,0.834836648,0.07,0.904836648,0.066,0.898694129,100,90.4836648,89.8694129
8,0.345909297,0.874680726,0.822147254,0.823733428,0.07,0.893733428,0.066,0.888147254,100,89.3733428,88.8147254
9,0.331539333,0.879475391,0.82483428,0.827864583,0.07,0.897864583,0.066,0.89083428,100,89.7864583,89.083428
10,0.322951704,0.883145656,0.820833333,0.833380682,0.07,0.903380682,0.066,0.886833333,100,90.3380682,88.6833333
11,0.309942842,0.886674329,0.834327652,0.83116714,0.07,0.90116714,0.066,0.900327652,100,90.116714,90.0327652
12,0.302418739,0.890594461,0.823413826,0.829107481,0.07,0.899107481,0.066,0.889413826,100,89.9107481,88.9413826
13,0.297458977,0.892487895,0.83507339,0.830196496,0.07,0.900196496,0.066,0.90107339,100,90.0196496,90.107339
14,0.284986913,0.896036003,0.834244792,0.830445076,0.07,0.900445076,0.066,0.900244792,100,90.0445076,90.0244792
15,0.28291887,0.897907227,0.830078125,0.830587121,0.07,0.900587121,0.066,0.896078125,100,90.0587121,89.6078125
16,0.277249664,0.898767879,0.832066761,0.832658617,0.07,0.902658617,0.066,0.898066761,100,90.2658617,89.8066761
17,0.272880793,0.900286514,0.829876894,0.833013731,0.07,0.903013731,0.066,0.895876894,100,90.3013731,89.5876894
18,0.266838551,0.903154429,0.827355587,0.834422348,0.07,0.904422348,0.066,0.893355587,100,90.4422348,89.3355587
19,0.261042625,0.90460088,0.830752841,0.83897964,0.07,0.90897964,0.066,0.896752841,100,90.897964,89.6752841
20,0.255432516,0.907274454,0.82430161,0.827071496,0.07,0.897071496,0.066,0.89030161,100,89.7071496,89.030161
21,0.25218603,0.907549307,0.830018939,0.826621686,0.07,0.896621686,0.066,0.896018939,100,89.6621686,89.6018939
22,0.252948523,0.908318341,0.830989583,0.832694129,0.07,0.902694129,0.066,0.896989583,100,90.2694129,89.6989583
23,0.244268388,0.910189566,0.833451705,0.82734375,0.07,0.89734375,0.066,0.899451705,100,89.734375,89.9451705
24,0.243842989,0.911072428,0.828491951,0.829415246,0.07,0.899415246,0.066,0.894491951,100,89.9415246,89.4491951
25,0.241870269,0.911050218,0.83412642,0.829663826,0.07,0.899663826,0.066,0.90012642,100,89.9663826,90.012642
26,0.238727719,0.911516636,0.83342803,0.835594223,0.07,0.905594223,0.066,0.89942803,100,90.5594223,89.942803
27,0.236054838,0.913296242,0.830397727,0.826893939,0.07,0.896893939,0.066,0.896397727,100,89.6893939,89.6397727
28,0.229104742,0.915872646,0.832421875,0.828574811,0.07,0.898574811,0.066,0.898421875,100,89.8574811,89.8421875
29,0.228601009,0.916630575,0.82273911,0.822526042,0.07,0.892526042,0.066,0.88873911,100,89.2526042,88.873911
30,0.228214875,0.916930415,0.83367661,0.829675663,0.07,0.899675663,0.066,0.89967661,100,89.9675663,89.967661
,,,0.83507339,0.83897964,,0.90897964,,,,,
