epoch,training loss,training acc,test acc,computation time
1,1.008696079,0.57446584,0.761339962,0.124970436
2,0.762305558,0.705004553,0.794010417,0.118911743
3,0.687302291,0.739016969,0.810345644,0.125630856
4,0.641659677,0.75771533,0.819116951,0.126322269
5,0.605632007,0.773670709,0.826858428,0.124014854
6,0.577941716,0.785450537,0.829474432,0.116628408
7,0.564038575,0.791500089,0.828693182,0.131504297
8,0.545943856,0.798821184,0.831072443,0.12994051
9,0.530863881,0.803707467,0.840305398,0.142052174
10,0.525576472,0.807102878,0.841347064,0.125002861
11,0.51485914,0.810617671,0.84280303,0.135843992
12,0.50720948,0.81397699,0.841027462,0.125924826
13,0.497989982,0.81750844,0.84193892,0.133676052
14,0.493787408,0.819143679,0.84321733,0.140598774
15,0.492663622,0.820193119,0.844495739,0.138628006
16,0.48673135,0.821261994,0.846437027,0.142644167
17,0.485669822,0.821559057,0.845194129,0.142654657
18,0.482899547,0.822136527,0.846543561,0.127680302
19,0.479333431,0.824765681,0.846827652,0.140553474
20,0.477120578,0.826173263,0.845170455,0.139658213
21,0.475492597,0.82589841,0.84740767,0.127156973
22,0.474336594,0.827350413,0.845667614,0.134974957
23,0.472526401,0.826176039,0.846638258,0.135668278
24,0.470284045,0.82797508,0.849597538,0.139626026
25,0.466669083,0.829471504,0.848248106,0.134653091
26,0.468792886,0.827666911,0.845916193,0.144689083
27,0.466774642,0.829402097,0.847537879,0.13666153
28,0.464941919,0.829260506,0.850449811,0.136665106
29,0.465627223,0.829871291,0.850911458,0.136688948
30,0.460322529,0.831192808,0.847147254,0.129681349
31,0.462994695,0.831589819,0.847324811,0.125694752
32,0.459959716,0.832719772,0.851976799,0.126684427
33,0.462720126,0.830754153,0.843371212,0.126628399
34,0.458175898,0.832378287,0.851160038,0.130649805
35,0.461551338,0.832766969,0.848934659,0.147606134
36,0.460195482,0.831301084,0.85139678,0.138634682
37,0.455299884,0.834435523,0.850461648,0.137631178
38,0.459246218,0.832636483,0.851420455,0.138661146
39,0.457288682,0.832422708,0.848058712,0.138632298
40,0.454179198,0.833511016,0.847241951,0.13763237
41,0.456307113,0.832944652,0.84868608,0.141622782
42,0.458096415,0.83330557,0.852201705,0.138629198
43,0.455291718,0.832436589,0.849479167,0.137631893
44,0.45423919,0.834077381,0.851420455,0.143616438
45,0.454577059,0.832830824,0.853243371,0.136635065
46,0.454682916,0.834193985,0.85131392,0.136634827
47,0.454702437,0.834377221,0.851870265,0.138629675
48,0.456392169,0.833011283,0.852462121,0.137632847
49,0.453442127,0.833491582,0.852284564,0.136635303
50,0.454863966,0.833824738,0.855705492,0.137631655
,,,0.855705492,
