epoch,training loss,training acc,test acc,computation time
1,0.445665866,0.846045998,0.880622633,0.120712996
2,0.357928962,0.876210466,0.885570549,0.140755892
3,0.339098513,0.882246135,0.886351799,0.124940157
4,0.332106382,0.884653185,0.886493845,0.125005484
5,0.324700981,0.886052439,0.892282197,0.135612965
6,0.317713857,0.888917577,0.893892045,0.124997616
7,0.314969003,0.889400653,0.892542614,0.124971628
8,0.310643941,0.890972037,0.894164299,0.124963999
9,0.306194603,0.892265792,0.892211174,0.124938488
10,0.305808067,0.892954313,0.892033617,0.124977827
11,0.3027834,0.893501244,0.893004261,0.127025604
12,0.300062478,0.895072628,0.896366004,0.125002623
13,0.297710449,0.895819452,0.895857008,0.124970198
14,0.295731872,0.896185923,0.891631155,0.141830921
15,0.295887262,0.896333067,0.896117424,0.125001431
16,0.293289512,0.896588486,0.897869318,0.125001669
17,0.29316476,0.897349192,0.892684659,0.124977112
18,0.29066354,0.898359764,0.895016572,0.125003099
19,0.290252179,0.897649032,0.89124053,0.140624285
20,0.291286409,0.897190943,0.892258523,0.124974251
21,0.288325846,0.897923885,0.89609375,0.12497735
22,0.288765162,0.898623512,0.897277462,0.132619858
23,0.288012981,0.899434191,0.897881155,0.124971628
24,0.28751573,0.89951748,0.900094697,0.124977589
25,0.287302196,0.8996674,0.893122633,0.124969006
26,0.286486596,0.899550795,0.896437027,0.145865917
27,0.286449701,0.898853945,0.896129261,0.13766408
28,0.286881328,0.899523032,0.899041193,0.149633646
29,0.285690635,0.8996674,0.899562027,0.142641783
30,0.285749823,0.89986174,0.895916193,0.136668205
31,0.284774333,0.900913957,0.897999527,0.135636091
32,0.286105305,0.899672952,0.894886364,0.125663996
33,0.285212874,0.89961465,0.896638258,0.125691891
34,0.283759862,0.900022766,0.898319129,0.135637283
35,0.284482449,0.900286514,0.895324337,0.138629198
36,0.283606917,0.900988917,0.899822443,0.138629198
37,0.283408135,0.900033871,0.897218277,0.13960743
38,0.284024388,0.900444763,0.898650568,0.137662649
39,0.281930745,0.900580801,0.89897017,0.137606144
40,0.283601493,0.901183258,0.895276989,0.135674477
41,0.282347858,0.901272099,0.898650568,0.139625549
42,0.282130688,0.900544709,0.89818892,0.141641617
43,0.282968462,0.900250422,0.89695786,0.140655279
44,0.282464832,0.901344283,0.899159564,0.13867116
45,0.281577706,0.901199916,0.897597064,0.142617702
46,0.28257817,0.901002799,0.894945549,0.140590429
47,0.282859296,0.900444763,0.898449337,0.140594482
48,0.280130744,0.901222126,0.896437027,0.121526003
49,0.28161031,0.901072206,0.89358428,0.124972343
50,0.280698746,0.902024476,0.896105587,0.128656387
,,,0.900094697,
