epoch,training loss,training acc,test acc,computation time
1,0.456218213,0.835062966,0.87874053,0.30206275
2,0.346105188,0.877606943,0.888837595,0.303187609
3,0.309307516,0.889869847,0.890530303,0.313724756
4,0.291894823,0.895924951,0.886434659,0.303189993
5,0.278807402,0.900264303,0.892921402,0.309172869
6,0.265265018,0.904845194,0.894945549,0.943935633
7,0.260038704,0.906760839,0.888908617,0.303369761
8,0.250875086,0.909723148,0.898461174,0.298928022
9,0.244298652,0.91241338,0.897585227,0.304358006
10,0.238081217,0.914431748,0.892045455,0.321727037
11,0.231493115,0.916885994,0.894507576,0.300709963
12,0.226564273,0.919523476,0.880338542,0.314536095
13,0.222215146,0.921539068,0.892483428,0.314766407
14,0.221750975,0.920112051,0.896519886,0.314626694
15,0.215619817,0.92329924,0.898851799,0.315158129
16,0.213791981,0.92290223,0.893193655,0.318149328
17,0.20856382,0.925892302,0.897099905,0.31216526
18,0.206721932,0.925703514,0.896377841,0.314139366
19,0.201823294,0.927796842,0.896590909,0.327154875
20,0.202419251,0.927113873,0.894318182,0.304908037
21,0.199013382,0.928465929,0.894981061,0.318156719
22,0.196702629,0.92873523,0.901325758,0.330153704
23,0.19428432,0.92993459,0.891394413,0.328122377
24,0.193398699,0.929826315,0.894412879,0.310171366
25,0.190046102,0.932155628,0.896472538,0.325040579
26,0.190062508,0.931083977,0.898200758,0.32313633
27,0.188351706,0.931031228,0.895466383,0.342545748
28,0.185734734,0.932358298,0.893643466,0.312165499
29,0.186310261,0.932449916,0.896188447,0.325130939
30,0.18242529,0.934151786,0.89313447,0.312427759
31,0.180942327,0.934518257,0.895667614,0.348963976
32,0.181154981,0.934137904,0.892613636,0.312396288
33,0.179113224,0.934884728,0.892163826,0.314040661
34,0.180239037,0.934776453,0.89313447,0.320527554
35,0.178506732,0.934645967,0.895466383,0.312397718
36,0.176557675,0.935650986,0.898212595,0.328081846
37,0.178291708,0.93516791,0.89358428,0.326127291
38,0.174064979,0.936617138,0.894957386,0.34408021
39,0.17544654,0.936128509,0.892814867,0.323511362
40,0.173084915,0.936914201,0.889157197,0.322681665
41,0.170319721,0.938119114,0.894235322,0.331170559
42,0.175002784,0.935959155,0.896579072,0.340089321
43,0.171154544,0.937794287,0.893572443,0.310048342
44,0.168383554,0.938321784,0.891098485,0.325025558
45,0.16773425,0.93850502,0.890909091,0.323136806
46,0.167368144,0.938896477,0.887357955,0.316267014
47,0.166484103,0.939026963,0.890660511,0.342857361
48,0.167000189,0.938957556,0.893572443,0.329852581
49,0.164638355,0.940601124,0.895868845,0.343652248
50,0.165322557,0.939737695,0.890400095,0.316158056
