epoch,training loss,training acc,test acc,computation time,add,re
1,0.874428809,0.694426117,0.762861298,2.351285934,0.1,0.862861298
2,0.678438902,0.758054345,0.784040179,2.384343624,0.1,0.884040179
3,0.639886975,0.770464437,0.789473899,2.316097975,0.1,0.889473899
4,0.620929837,0.777049246,0.797259922,2.303112984,0.1,0.897259922
5,0.609966218,0.780527451,0.800241544,2.398493052,0.1,0.900241544
6,0.600903213,0.783772795,0.800966583,2.318267107,0.1,0.900966583
7,0.591353953,0.78687957,0.803807677,2.317344904,0.1,0.903807677
8,0.588514447,0.787800103,0.804098915,2.31185174,0.1,0.904098915
9,0.585408449,0.78892536,0.805921696,2.309824228,0.1,0.905921696
10,0.58137852,0.790632113,0.806141651,2.401580334,0.1,0.906141651
11,0.577478945,0.791262069,0.8068728,2.308811903,0.1,0.9068728
12,0.575709701,0.792774394,0.809434877,2.325816393,0.1,0.909434877
13,0.576696515,0.791705253,0.80844304,2.331733942,0.1,0.90844304
14,0.573525071,0.792533707,0.810952164,2.332116842,0.1,0.910952164
15,0.571942031,0.79338037,0.809056064,2.319796562,0.1,0.909056064
16,0.569115698,0.79420791,0.810096781,2.319832802,0.1,0.910096781
17,0.568744183,0.794911406,0.813343163,2.330922842,0.1,0.913343163
18,0.565488815,0.79508101,0.807310675,2.342746735,0.1,0.907310675
19,0.567727268,0.794838551,0.810675182,2.308842897,0.1,0.910675182
20,0.565689683,0.795651708,0.809646686,2.311252594,0.1,0.909646686
21,0.564837456,0.795896467,0.811363562,2.324565411,0.1,0.911363562
22,0.565272272,0.795181587,0.810047901,2.314952612,0.1,0.910047901
23,0.562276363,0.797576525,0.816247393,2.333761692,0.1,0.916247393
24,0.562444627,0.79663337,0.810917541,2.321825504,0.1,0.910917541
25,0.560629189,0.797163863,0.810007169,2.311853409,0.1,0.910007169
26,0.562906086,0.796217393,0.808090703,2.303316593,0.1,0.908090703
27,0.560145974,0.797432087,0.811290244,2.295845032,0.1,0.911290244
28,0.560858011,0.796449569,0.811897158,2.32177639,0.1,0.911897158
29,0.559162796,0.798092479,0.814687337,2.327805281,0.1,0.914687337
30,0.559017956,0.797355404,0.809972546,2.326779604,0.1,0.909972546
,,,0.816247393,,,0.916247393
