epoch,training loss,training acc,test acc,computation time,test acc,computation time,,,,,,
1,1.406579971,0.543545152,0.571559176,0.891616821,0.570157358,1.545871735,,,,,,
2,1.372147679,0.555013199,0.573498449,0.921329975,0.572994238,1.547863245,,,,,,
3,1.367930651,0.556773357,0.574867021,0.992561817,0.580003324,1.55951786,,,,,,
4,1.368206024,0.556659553,0.575714761,0.951455593,0.577349291,1.606656313,,,,,,
5,1.365663171,0.557430708,0.574939051,0.901199818,0.581216755,1.521742821,,,,,,
6,1.365087152,0.557654031,0.575171764,0.941484451,0.579992243,1.579014778,,,,,,
7,1.365232468,0.558240195,0.575980718,0.943478584,0.576579122,1.551209211,,,,,,
8,1.365198731,0.558061393,0.574517952,0.894788027,0.580197252,1.561258554,,,,,,
9,1.364620686,0.558263527,0.574340647,0.895145893,0.581238918,1.774257421,,,,,,
10,1.365728259,0.557896877,0.574966755,1.054183006,0.57840758,1.637657166,,,,,,
11,1.364039898,0.558518039,0.574700798,0.914556265,0.579526817,1.590779305,,,,,,
12,1.364507079,0.558347571,0.577094415,0.98137784,0.581837323,1.549857855,,,,,,
13,1.362513185,0.55845209,0.575360151,0.976423264,0.58337766,1.623659849,,,,,,
14,1.364487529,0.557760217,0.575493129,0.901590824,0.582574246,1.618671417,,,,,,
15,1.363346696,0.558923259,0.576507092,0.88962245,0.58444703,1.594738722,,,,,,
,,,0.577094415,,0.58444703,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,time,dpcnn-15,dpcnn-7,cnn
,,,,0.71,,0.7035,,,12,,,
,,,,,,0.7057,,,14,,,72.7
,,,,,,0.7062,,,16,,,
,,,,0.7122,,0.7145,,,18,,,
,,,,,,0.715,,,20,,71,
,,,,,,0.7265,,,22,72.45,,
,,,,0.7218,,,,,,,,
