epoch,training loss,training acc,test acc,computation time
1,0.569718242,0.673483246,0.694208091,0.562461376
2,0.555877686,0.684642684,0.698186685,0.595384121
3,0.552712798,0.686240208,0.695905854,0.622349024
4,0.550618827,0.687303437,0.69973976,0.634305477
5,0.549938321,0.688198693,0.702072028,0.611567259
6,0.549678683,0.68773945,0.700566076,0.597440243
7,0.549254775,0.688357731,0.703252764,0.549606562
8,0.549348474,0.687991408,0.703376545,0.549170256
9,0.548522115,0.689127902,0.702571136,0.533663273
10,0.548270047,0.688263023,0.703999435,0.550684452
11,0.548266411,0.688849139,0.701201576,0.581025839
12,0.548114419,0.689610376,0.700433998,0.647270203
13,0.548544705,0.688734775,0.705127737,0.594840288
14,0.548052311,0.688858074,0.703802313,0.59513998
15,0.54844147,0.689034981,0.703586277,0.594532251
16,0.548260868,0.688811614,0.702355099,0.579323292
17,0.548127651,0.689953468,0.700952022,0.547138929
18,0.547519684,0.689088589,0.70419025,0.577758074
19,0.547531724,0.689422747,0.704832055,0.610928774
20,0.547924519,0.689033194,0.702800779,0.595097065
21,0.548054874,0.688902748,0.703520238,0.548122644
22,0.547463596,0.689059998,0.702335188,0.54799819
23,0.548355043,0.688250515,0.701089409,0.549676895
24,0.547892749,0.689372713,0.704130517,0.581597805
25,0.548354208,0.688141511,0.707597392,0.564687967
26,0.547954202,0.689190445,0.701410312,0.564889669
27,0.547717392,0.689551407,0.697275415,0.564302444
28,0.54789269,0.689542472,0.697996865,0.570590734
29,0.548178256,0.689295874,0.702262844,0.59721756
30,0.547571659,0.689442403,0.700310217,0.594455004
,,,0.707597392,17.41322565
