epoch,training loss,training acc,test acc,computation time,add,re,,,,,,,
1,0.566497564,0.673844207,0.694757641,0.688160419,0.23,0.924757641,,,,,,,
2,0.544148922,0.691463432,0.695977203,0.680181503,0.23,0.925977203,,,,,,,
3,0.537987769,0.695532294,0.699444079,0.749623299,0.23,0.929444079,,,,,,,
4,0.535039783,0.697719508,0.701613738,0.682374716,0.23,0.931613738,,,,,,,
5,0.533227324,0.699688715,0.704013041,0.689092159,0.23,0.934013041,,,,,,,
6,0.532766461,0.699885278,0.698023081,0.694995642,0.23,0.928023081,,,,,,,
7,0.532112181,0.699921017,0.702840601,0.70497632,0.23,0.932840601,,,,,,,
8,0.531866968,0.700035381,0.704596107,0.698154688,0.23,0.934596107,,,,time,dpcnn-15,dpcnn-7,cnn
9,0.531690836,0.700237306,0.700434994,0.690534592,0.23,0.930434994,,,,5,,,
10,0.530414522,0.701416686,0.704052863,0.701669693,0.23,0.934052863,,,,10,,,
11,0.530920386,0.701454211,0.707054148,0.695112944,0.23,0.937054148,,,,15,,,
12,0.530243576,0.7003749,0.705586027,0.688871384,0.23,0.935586027,,,,17.413,,,92.76
13,0.530669868,0.700953868,0.700396167,0.704345226,0.23,0.930396167,,,,20,,91.66,
14,0.530096412,0.700780535,0.704295116,0.698873281,0.23,0.934295116,,,,21.13,91.81,,
15,0.529628873,0.701632905,0.708122717,0.696508884,0.23,0.938122717,,,,,,,
16,0.529049575,0.701967063,0.70336493,0.713330746,0.23,0.93336493,,,,,,,
17,0.529274285,0.702345894,0.704720884,0.775925636,0.23,0.934720884,,,,,,,
18,0.529282093,0.702394142,0.706287566,0.676583052,0.23,0.936287566,,,,,,,
19,0.528789759,0.702240465,0.703444575,0.713138103,0.23,0.933444575,,,,,,,
20,0.530520916,0.700984246,0.705999185,0.687488794,0.23,0.935999185,,,,,,,
21,0.528793573,0.70284445,0.705152958,0.688160181,0.23,0.935152958,,,,,,,
22,0.52961421,0.701271944,0.703816915,0.688451052,0.23,0.933816915,,,,,,,
23,0.529622197,0.701296961,0.700613199,0.754253864,0.23,0.930613199,,,,,,,
24,0.528997242,0.702017097,0.705376296,0.697136879,0.23,0.935376296,,,,,,,
25,0.528574228,0.702115379,0.705926841,0.690155745,0.23,0.935926841,,,,,,,
26,0.528764784,0.702142183,0.703240153,0.700128555,0.23,0.933240153,,,,,,,
27,0.529008806,0.701695448,0.704688363,0.689420462,0.23,0.934688363,,,,,,,
28,0.528432012,0.702379846,0.705015571,0.723044872,0.23,0.935015571,,,,,,,
29,0.529035151,0.701825895,0.706667206,0.752403736,0.23,0.936667206,,,,,,,
30,0.528942108,0.701777648,0.703783398,0.72543788,0.23,0.933783398,,,,,,,
,,,0.708122717,21.13853431,0.23,0.938122717,,,,,,,
